Code,Function,Heated
31001_3021,Allgemein bildende Schule,t
31001_3022,Berufsbildende Schule,t
31001_3023,"Hochschulgebäude (Fachhochschule, Universität)",t
31001_3024,Forschungsinstitut,t
31001_3030,Gebäude für kulturelle Zwecke,t
31001_3031,Schloss,f
31001_3032,"Theater, Oper",t
31001_3033,Konzertgebäude,t
31001_3034,Museum,t
31001_3035,"Rundfunk, Fernsehen",t
31001_3036,Veranstaltungsgebäude,t
31001_3037,"Bibliothek, Bücherei",t
31001_3038,"Burg, Festung",f
31001_3040,Gebäude für religiöse Zwecke,t
31001_3041,Kirche,f
31001_3042,Synagoge,f
31001_3043,Kapelle,f
31001_3044,Gemeindehaus,t
31001_3045,Gotteshaus,f
31001_3046,Moschee,f
31001_3047,Tempel,f
31001_3048,Kloster,f
31001_3050,Gebäude für Gesundheitswesen,t
31001_3051,Krankenhaus,t
31001_3052,"Heilanstalt, Pflegeanstalt, Pflegestation",t
31001_3053,"Ärztehaus, Poliklinik",t
31001_3054,Rettungswache,t
31001_3060,Gebäude für soziale Zwecke,t
31001_3061,Jugendfreizeitheim,t
31001_3062,"Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus",t
31001_3063,Seniorenfreizeitstätte,t
31001_3064,Obdachlosenheim,t
31001_3065,"Kinderkrippe, Kindergarten, Kindertagesstätte",t
31001_3066,Asylbewerberheim,t
31001_3070,Gebäude für Sicherheit und Ordnung,t
31001_3071,Polizei,t
31001_3072,Feuerwehr,t
31001_3073,Kaserne,t
31001_3074,Schutzbunker,f
31001_3075,Justizvollzugsanstalt,t
31001_3080,Friedhofsgebäude,f
31001_3081,Trauerhalle,f
31001_3082,Krematorium,f
31001_3090,Empfangsgebäude,t
31001_3091,Bahnhofsgebäude,f
31001_3092,Flughafengebäude,f
31001_3094,Gebäude zum U-Bahnhof,f
31001_3095,Gebäude zum S-Bahnhof,f
31001_3097,Gebäude zum Busbahnhof,f
31001_3098,Empfangsgebäude Schifffahrt,t
31001_3100,Gebäude für öffentliche Zwecke mit Wohnen,t
31001_3200,Gebäude für Erholungszwecke,f
31001_3210,Gebäude für Sportzwecke,f
31001_3211,"Sport-, Turnhalle",f
31001_3212,Gebäude zum Sportplatz,f
31001_3220,Badegebäude,f
31001_3221,Hallenbad,t
31001_3222,Gebäude im Freibad,f
31001_3230,Gebäude im Stadion,f
31001_3240,Gebäude für Kurbetrieb,t
31001_3241,Badegebäude für medizinische Zwecke,t
31001_3242,Sanatorium,t
31001_3260,Gebäude im Zoo,t
31001_3261,Empfangsgebäude des Zoos,t
31001_3262,"Aquarium, Terrarium, Voliere",t
31001_3263,Tierschauhaus,t
31001_3264,Stall im Zoo,f
31001_3270,Gebäude im botanischen Garten,f
31001_3271,Empfangsgebäude des botanischen Gartens,t
31001_3272,Gewächshaus (Botanik),t
31001_3273,Pflanzenschauhaus,t
31001_3280,Gebäude für andere Erholungseinrichtung,t
31001_3281,Schutzhütte,f
31001_3290,Touristisches Informationszentrum,t
31001_9998,Nach Quellenlage nicht zu spezifizieren,f
51001_1001,Wasserturm,f
51001_1002,Kirchturm,f
51001_1003,Aussichtsturm,f
51001_1004,Kontrollturm,f
51001_1005,Kühlturm,f
51001_1006,Leuchtturm,f
51001_1007,Feuerwachturm,f
